matchday,total_goals_home,total_goals_away,matches_count,total_goals,avg_goals_per_match
1,34.0,40.0,30,74.0,2.466666666666667
2,42.0,30.0,30,72.0,2.4
3,41.0,38.0,30,79.0,2.6333333333333333
4,55.0,28.0,30,83.0,2.7666666666666666
5,58.0,34.0,30,92.0,3.066666666666667
6,50.0,45.0,30,95.0,3.1666666666666665
7,38.0,29.0,30,67.0,2.2333333333333334
8,53.0,34.0,30,87.0,2.9
9,35.0,35.0,30,70.0,2.3333333333333335
10,46.0,38.0,30,84.0,2.8
11,48.0,33.0,30,81.0,2.7
12,38.0,29.0,30,67.0,2.2333333333333334
13,47.0,34.0,30,81.0,2.7
14,46.0,36.0,30,82.0,2.7333333333333334
15,43.0,27.0,30,70.0,2.3333333333333335
16,39.0,34.0,30,73.0,2.433333333333333
17,39.0,23.0,30,62.0,2.066666666666667
18,46.0,46.0,30,92.0,3.066666666666667
19,35.0,32.0,30,67.0,2.2333333333333334
20,30.0,23.0,30,53.0,1.7666666666666666
21,29.0,27.0,30,56.0,1.8666666666666667
22,26.0,20.0,30,46.0,1.5333333333333334
23,26.0,24.0,30,50.0,1.6666666666666667
24,31.0,24.0,30,55.0,1.8333333333333333
25,30.0,20.0,30,50.0,1.6666666666666667
26,35.0,20.0,30,55.0,1.8333333333333333
27,34.0,17.0,30,51.0,1.7
28,30.0,29.0,30,59.0,1.9666666666666666
29,27.0,21.0,30,48.0,1.6
30,14.0,29.0,30,43.0,1.4333333333333333
31,22.0,25.0,30,47.0,1.5666666666666667
32,35.0,25.0,30,60.0,2.0
33,36.0,15.0,30,51.0,1.7
34,30.0,24.0,30,54.0,1.8
35,36.0,23.0,30,59.0,1.9666666666666666
36,24.0,21.0,30,45.0,1.5
37,28.0,32.0,30,60.0,2.0
38,33.0,25.0,30,58.0,1.9333333333333333
